,Place Name,Place ID,Latitude,Longitude,Rating,Types,Vicinity
0,The Shandygaff,ChIJ2wC2X5-ozokR0g8LdwFDhtA,40.795167,-77.8597144,3.7,"['bar', 'point_of_interest', 'establishment']","212 E College Ave, State College"
1,Adam's Apple,ChIJ9VxeYJ-ozokRLZH0RqabC7A,40.7953672,-77.85943790000002,3.7,"['bar', 'point_of_interest', 'establishment']","212 E Calder Way, State College"
2,The Brewery,ChIJZ7m07aGozokRwxbOC8cOlCs,40.7949429,-77.8584317,4.3,"['bar', 'point_of_interest', 'establishment']","233 E Beaver Ave, State College"
3,Jax Bar & Kitchen,ChIJoZUgzIupzokRrwxqMULnHIM,40.7949275,-77.86072879999999,4.2,"['bar', 'point_of_interest', 'establishment']","128 E College Ave, State College"
4,Doggie's Pub,ChIJqTapLHepzokR7QDIpOfbsos,40.795018,-77.860354,4.0,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']","108 S Pugh St, State College"
5,Bill Pickles Tap Room,ChIJufOJzJiozokRZyI2CKJqiQc,40.794134,-77.8613907,4.1,"['bar', 'point_of_interest', 'establishment']","106 S Allen St, State College"
6,Zeno's,ChIJc4r7zZiozokRxkdgv1x62tA,40.7942708,-77.861603,4.5,"['bar', 'point_of_interest', 'establishment']","100 W College Ave, State College"
7,Local Whiskey,ChIJuwJ5r5iozokRkBDMex98ww0,40.7937297,-77.8601448,4.4,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']","107 E Beaver Ave, State College"
8,Phyrst,ChIJc8UbpZiozokRXReoAANZT7g,40.7937165,-77.8601073,3.9,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']","111 E Beaver Ave, State College"
9,Champs Downtown,ChIJEesCsZiozokRZis9bSTBHtU,40.793845,-77.8604948,4.2,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']","139 S Allen St, State College"
10,The Tavern,ChIJbQM7Yp-ozokR-EbPyeCnEc4,40.7956303,-77.85977849999999,4.2,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']","220 E College Ave, State College"
11,Central Reservation,ChIJ2dSOTOmpzokRJgAuM3VJl20,40.79362340000001,-77.8602686,4.4,"['bar', 'point_of_interest', 'establishment']","101 E Beaver Ave, State College"
12,Chumley's,ChIJpS1B0piozokRbPj_B-bxJic,40.7941203,-77.861807,3.7,"['bar', 'point_of_interest', 'establishment']","108 W College Ave, State College"
13,Alla Spina at HiWay,ChIJVzflXKCozokRdhkrAd7cIrE,40.7974921,-77.8573289,3.9,"['bar', 'point_of_interest', 'establishment']","346 E College Ave, State College"
14,Primanti Bros. Restaurant and Bar State College,ChIJi53GwnBoSogR34J5rnskSFk,40.79670220000001,-77.8571846,4.1,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']","130 Hiester St, State College"
15,The Saloon,ChIJmUx6RKCozokR3lSO8lGUe1o,40.7973876,-77.8574666,3.3,"['night_club', 'point_of_interest', 'establishment']","101 Hiester St, State College"
16,Social Food + Drink,ChIJgYRmkF6pzokR6Gm7t-EIIm4,40.7944633,-77.8591412,4.4,"['restaurant', 'food', 'point_of_interest', 'establishment']","201 E Beaver Ave, State College"
17,The Corner Room,ChIJc4r7zZiozokR-NiM1lWNeLg,40.7942719,-77.86160670000001,4.2,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']","100 W College Ave, State College"
18,Allen Street Grill,ChIJc4r7zZiozokRsADin-_eEOY,40.7941163,-77.86158089999999,4.1,"['restaurant', 'food', 'point_of_interest', 'establishment']","100 W College Ave, State College"
